Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
What is the capital of Japan?,Tokyo,Kyoto,Osaka,Seoul,Tokyo
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Mars
What is 2 + 2?,3,4,5,6,4
Who wrote "Romeo and Juliet"?,William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare
What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,Blue Whale
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,H2O
In which year did the Titanic sink?,1912,1920,1905,1931,1912
What is the square root of 144?,10,12,14,16,12
What is the currency of Australia?,Australian Dollar,Euro,Pound,Yen,Australian Dollar
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
Which artist painted the "Mona Lisa"?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo,Leonardo da Vinci
What is the largest desert in the world?,Antarctic Polar Desert,Sahara Desert,Arabian Desert,Gobi Desert,Antarctic Polar Desert
Which country is known as the "Land of the Rising Sun"?,Japan,China,Korea,Vietnam,Japan
What is the boiling point of water in Celsius?,100,212,0,32,100
Who wrote "Pride and Prejudice"?,Jane Austen,Charlotte Bronte,Emily Bronte,George Eliot,Jane Austen
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune,Jupiter
Which animal is known as the "King of the Jungle"?,Lion,Tiger,Elephant,Giraffe,Lion
What is the currency of Brazil?,Real,Peso,Dollar,Euro,Real
Who discovered penicillin?,Alexander Fleming,Marie Curie,Albert Einstein,Isaac Newton,Alexander Fleming
What is the largest organ in the human body?,Skin,Liver,Heart,Brain,Skin
Which city is known as the "City of Lights"?,Paris,Rome,London,Berlin,Paris
What is the chemical formula for table salt?,NaCl,H2O,CO2,O2,NaCl
Which playwright wrote "Hamlet"?,William Shakespeare,Arthur Miller,Tennessee Williams,Eugene O'Neill,William Shakespeare
What is the largest continent?,Asia,Africa,Europe,North America,Asia
Which element has the chemical symbol "O"?,Oxygen,Gold,Iron,Silver,Oxygen
What is the largest bird in the world?,Ostrich,Eagle,Albatross,Penguin,Ostrich
Who developed the theory of relativity?,Albert Einstein,Stephen Hawking,Isaac Newton,Galileo Galilei,Albert Einstein
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Mars
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,Jane Austen,Charles Dickens,F. Scott Fitzgerald
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
Which element has the chemical symbol "Fe"?,Iron,Gold,Silver,Copper,Iron
Who painted "Starry Night"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh
What is the capital of France?,Paris,London,Rome,Berlin,Paris
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Hippopotamus,Blue Whale
Who developed the theory of evolution by natural selection?,Charles Darwin,Albert Einstein,Isaac Newton,Galileo Galilei,Charles Darwin
What is the currency of Japan?,Yen,Won,Dollar,Euro,Yen
Which country is known as the "Land of the Midnight Sun"?,Norway,Sweden,Finland,Iceland,Norway
What is the chemical formula for water?,H2O,CO2,NaCl,O2,H2O
Who wrote "To Kill a Mockingbird"?,Harper Lee,George Orwell,Mark Twain,Ernest Hemingway,Harper Lee
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Berlin
Which gas do humans exhale?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the largest bird of prey?,Andean Condor,Golden Eagle,Bald Eagle,Harpy Eagle,Andean Condor
Who discovered radium?,Marie Curie,Albert Einstein,Isaac Newton,Alexander Fleming,Marie Curie
What is the currency of Mexico?,Peso,Real,Dollar,Euro,Peso
What is the largest river in the world (by volume)?,Amazon River,Nile River,Yangtze River,Mississippi River,Amazon River
Which country is known as the "Rainbow Nation"?,South Africa,Brazil,India,Australia,South Africa
What is the chemical symbol for silver?,Ag,Au,Fe,Cu,Ag
Who wrote "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,George Orwell
What is the capital of Italy?,Rome,Milan,Venice,Florence,Rome
Which gas is responsible for the greenhouse effect?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Benjamin Franklin,Alexander Graham Bell
What is the currency of China?,Yuan,Won,Dollar,Euro,Yuan
Which mountain range separates Europe from Asia?,Ural Mountains,Alps,Himalayas,Andes,Ural Mountains
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Cu
Who wrote "Moby Dick"?,Herman Melville,Nathaniel Hawthorne,Edgar Allan Poe,Walt Whitman,Herman Melville
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Madrid
Which gas is used in balloons to make them float?,Helium,Oxygen,Nitrogen,Carbon Dioxide,Helium
What is the largest species of shark?,Whale Shark,Great White Shark,Tiger Shark,Hammerhead Shark,Whale Shark
Who discovered the structure of DNA?,James Watson and Francis Crick,Albert Einstein,Isaac Newton,Marie Curie,James Watson and Francis Crick
What is the currency of South Korea?,Won,Yen,Dollar,Euro,Won
Which desert is located in Chile?,Atacama Desert,Sahara Desert,Gobi Desert,Arabian Desert,Atacama Desert
What is the chemical symbol for potassium?,K,P,Ca,Na,K
Who wrote "The Catcher in the Rye"?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,J.D. Salinger
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,Brasília
Which gas is used in photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the largest species of penguin?,Emperor Penguin,King Penguin,Gentoo Penguin,Adelie Penguin,Emperor Penguin
Who invented the light bulb?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Benjamin Franklin,Thomas Edison
What is the currency of India?,Rupee,Yen,Won,Dollar,Rupee
Which strait separates Europe and Africa?,Strait of Gibraltar,Bering Strait,Bosporus Strait,Dardanelles Strait,Strait of Gibraltar
What is the chemical symbol for calcium?,Ca,K,Na,Mg,Ca
Who wrote "Pride and Prejudice"?,Jane Austen,Charlotte Brontë,Emily Brontë,George Eliot,Jane Austen
What is the capital of Russia?,Moscow,St. Petersburg,Novosibirsk,Yekaterinburg,Moscow
Which gas is used in welding?,Acetylene,Oxygen,Nitrogen,Carbon Dioxide,Acetylene
What is the largest species of deer?,Moose,Elk,Reindeer,White-tailed Deer,Moose
Who discovered X-rays?,Wilhelm Röntgen,Albert Einstein,Isaac Newton,Marie Curie,Wilhelm Röntgen
What is the currency of Saudi Arabia?,Riyal,Dinar,Peso,Euro,Riyal
Which sea is located between Europe and Asia Minor?,Aegean Sea,Mediterranean Sea,Black Sea,Caspian Sea,Aegean Sea
What is the chemical symbol for sodium?,Na,K,Ca,Mg,Na
Who wrote "The Lord of the Rings"?,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin,Ursula K. Le Guin,J.R.R. Tolkien
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas is used in fire extinguishers?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the largest species of snake?,Green Anaconda,Reticulated Python,King Cobra,Boa Constrictor,Green Anaconda
Who invented the printing press?,Johannes Gutenberg,Leonardo da Vinci,Galileo Galilei,Isaac Newton,Johannes Gutenberg
What is the currency of Egypt?,Egyptian Pound,Dinar,Riyal,Peso,Egyptian Pound
Which island nation is located in the Indian Ocean?,Madagascar,Iceland,Greenland,Cuba,Madagascar
What is the chemical symbol for magnesium?,Mg,Na,K,Ca,Mg
Who wrote "The Adventures of Huckleberry Finn"?,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,Herman Melville,Mark Twain
What is the capital of Argentina?,Buenos Aires,Cordoba,Rosario,Mendoza,Buenos Aires
Which gas is used in neon signs?,Neon,Oxygen,Nitrogen,Carbon Dioxide,Neon
What is the largest species of octopus?,Giant Pacific Octopus,Colossal Octopus,Common Octopus,Blue-ringed Octopus,Giant Pacific Octopus
Who invented the steam engine?,James Watt,Thomas Edison,Nikola Tesla,Benjamin Franklin,James Watt
What is the currency of Nigeria?,Naira,Peso,Riyal,Dinar,Naira
Which lake is located between the United States and Canada?,Lake Superior,Lake Victoria,Lake Baikal,Lake Titicaca,Lake Superior
What is the chemical symbol for zinc?,Zn,Zr,Ni,Pb,Zn
Who wrote "One Hundred Years of Solitude"?,Gabriel García Márquez,Jorge Luis Borges,Isabel Allende,Julio Cortázar,Gabriel García Márquez
What is the capital of Portugal?,Lisbon,Porto,Coimbra,Faro,Lisbon
Which gas is used in refrigerators?,Freon,Oxygen,Nitrogen,Carbon Dioxide,Freon
What is the largest species of turtle?,Leatherback Sea Turtle,Galapagos Tortoise,Green Sea Turtle,Hawksbill Sea Turtle,Leatherback Sea Turtle
Who invented the radio?,Guglielmo Marconi,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Guglielmo Marconi
What is the currency of Turkey?,Turkish Lira,Riyal,Dinar,Peso,Turkish Lira
Which mountain range is located in South America?,Andes,Alps,Himalayas,Ural Mountains,Andes
What is the chemical symbol for lead?,Pb,Pt,Pd,Po,Pb
Who wrote "Don Quixote"?,Miguel de Cervantes,William Shakespeare,Dante Alighieri,Geoffrey Chaucer,Miguel de Cervantes
What is the capital of Poland?,Warsaw,Krakow,Gdansk,Wroclaw,Warsaw
Which gas is used in airships?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen
What is the largest species of penguin (by height)?,Emperor Penguin,King Penguin,Gentoo Penguin,Adelie Penguin,Emperor Penguin
What is the smallest prime number?,2,3,5,7,2
Which planet has the most moons?,Saturn,Jupiter,Uranus,Neptune,Saturn
Who painted "The Scream"?,Edvard Munch,Vincent van Gogh,Pablo Picasso,Claude Monet,Edvard Munch
What is the largest desert in Africa?,Sahara Desert,Kalahari Desert,Namib Desert,Danakil Desert,Sahara Desert
Which element is essential for thyroid function?,Iodine,Iron,Calcium,Potassium,Iodine
Who wrote "Hamlet"?,William Shakespeare,Christopher Marlowe,Ben Jonson,John Milton,William Shakespeare
What is the capital of Switzerland?,Bern,Zurich,Geneva,Basel,Bern
Which gas is used in the process of rusting?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen
What is the largest species of bear?,Polar Bear,Grizzly Bear,Brown Bear,Black Bear,Polar Bear
Who formulated the laws of motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,Isaac Newton
What is the currency of Thailand?,Baht,Ringgit,Dong,Kyat,Baht
Which country is known as the "Land of Fire and Ice"?,Iceland,Norway,Sweden,Finland,Iceland
What is the chemical formula for table salt?,NaCl,HCl,H2SO4,NaOH,NaCl
Who wrote "The Odyssey"?,Homer,Virgil,Sophocles,Euripides,Homer
What is the capital of Austria?,Vienna,Salzburg,Graz,Innsbruck,Vienna
Which gas is used in firework displays for red color?,Strontium,Calcium,Barium,Copper,Strontium
What is the fastest bird in level flight?,Spur-winged Goose,Peregrine Falcon,Swift,Albatross,Spur-winged Goose
Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Robert Koch,Edward Jenner,Alexander Fleming
What is the currency of Vietnam?,Dong,Kyat,Baht,Ringgit,Dong
Which mountain is the tallest in Africa?,Mount Kilimanjaro,Mount Kenya,Mount Meru,Mount Elgon,Mount Kilimanjaro
What is the chemical symbol for gold?,Au,Ag,Cu,Fe,Au
Who wrote "Crime and Punishment"?,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Ivan Turgenev,Fyodor Dostoevsky
What is the capital of Denmark?,Copenhagen,Aarhus,Odense,Aalborg,Copenhagen
Which gas is used in welding for stainless steel?,Argon,Helium,Neon,Krypton,Argon
What is the largest species of antelope?,Eland,Kudu,Oryx,Wildebeest,Eland
Who invented the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg,Tim Berners-Lee
What is the currency of Indonesia?,Rupiah,Ringgit,Baht,Dong,Rupiah
Which sea is known for the Dead Sea Scrolls?,Dead Sea,Red Sea,Arabian Sea,Mediterranean Sea,Dead Sea
What is the chemical symbol for tin?,Sn,Ti,Ta,Tc,Sn
Who wrote "The Divine Comedy"?,Dante Alighieri,Geoffrey Chaucer,John Milton,Edmund Spenser,Dante Alighieri
What is the capital of Ireland?,Dublin,Cork,Galway,Limerick,Dublin
Which gas is used in the production of ammonia?,Nitrogen,Hydrogen,Methane,Ethane,Nitrogen
What is the largest species of owl?,Eurasian Eagle-Owl,Great Horned Owl,Snowy Owl,Barn Owl,Eurasian Eagle-Owl
Who discovered the electron?,J.J. Thomson,Ernest Rutherford,Niels Bohr,Max Planck,J.J. Thomson
What is the currency of Pakistan?,Pakistani Rupee,Indian Rupee,Bangladeshi Taka,Sri Lankan Rupee,Pakistani Rupee
Which waterfall is the tallest in the world?,Angel Falls,Victoria Falls,Niagara Falls,Iguazu Falls,Angel Falls
What is the chemical symbol for mercury?,Hg,Mn,Mg,Mo,Hg
Who wrote "The Canterbury Tales"?,Geoffrey Chaucer,William Langland,John Gower,Thomas Malory,Geoffrey Chaucer
What is the capital of Norway?,Oslo,Bergen,Trondheim,Stavanger,Oslo
Which gas is used in the manufacture of sulfuric acid?,Sulfur Dioxide,Sulfur Trioxide,Hydrogen Sulfide,Sulfuric Acid,Sulfur Dioxide
What is the largest species of lizard?,Komodo Dragon,Iguana,Gila Monster,Bearded Dragon,Komodo Dragon
Who invented the first practical telephone?,Alexander Graham Bell,Elisha Gray,Antonio Meucci,Thomas Edison,Alexander Graham Bell
What is the currency of Bangladesh?,Taka,Rupee,Ringgit,Dong,Taka
Which lake is the deepest in the world?,Lake Baikal,Lake Tanganyika,Caspian Sea,Lake Vostok,Lake Baikal
What is the chemical symbol for chromium?,Cr,Co,Cu,Cd,Cr
Who wrote "The Brothers Karamazov"?,Fyodor Dostoevsky,Leo Tolstoy,Ivan Turgenev,Anton Chekhov,Fyodor Dostoevsky
What is the capital of Sweden?,Stockholm,Gothenburg,Malmö,Uppsala,Stockholm
Which gas is used in the process of vulcanization of rubber?,Sulfur,Oxygen,Nitrogen,Hydrogen,Sulfur
What is the largest species of tortoise?,Galapagos Tortoise,Aldabra Tortoise,African Spur Thigh Tortoise,Pancake Tortoise,Galapagos Tortoise
Who discovered the neutron?,James Chadwick,Ernest Rutherford,Niels Bohr,Max Planck,James Chadwick
What is the currency of Sri Lanka?,Sri Lankan Rupee,Indian Rupee,Pakistani Rupee,Bangladeshi Taka,Sri Lankan Rupee
Which river is the longest in Africa?,Nile River,Congo River,Niger River,Zambezi River,Nile River
What is the chemical symbol for nickel?,Ni,Nb,Ne,No,Ni
Who wrote "The Scarlet Letter"?,Nathaniel Hawthorne,Herman Melville,Edgar Allan Poe,Ralph Waldo Emerson,Nathaniel Hawthorne
What is the capital of Finland?,Helsinki,Tampere,Turku,Espoo,Helsinki
Which gas is used in the process of ripening fruits?,Ethylene,Carbon Dioxide,Nitrogen,Oxygen,Ethylene
What is the largest species of frog?,Goliath Frog,Cane Toad,Poison Dart Frog,Tomato Frog,Goliath Frog
Who invented the first airplane?,Wright Brothers,Leonardo da Vinci,George Cayley,Otto Lilienthal,Wright Brothers
What is the currency of Myanmar?,Kyat,Baht,Ringgit,Dong,Kyat
Which mountain range is located in North America?,Rocky Mountains,Andes,Alps,Himalayas,Rocky Mountains
What is the chemical symbol for bromine?,Br,Ba,Be,Bi,Br
Who wrote "Les Misérables"?,Victor Hugo,Alexandre Dumas,Gustave Flaubert,Émile Zola,Victor Hugo
What is the capital of Ukraine?,Kyiv,Kharkiv,Odesa,Lviv,Kyiv
Which gas is used in the process of making steel?,Oxygen,Nitrogen,Argon,Helium,Oxygen
What is the largest species of spider?,Goliath Birdeater,Brazilian Wandering Spider,Sydney Funnel-web Spider,Black Widow,Goliath Birdeater
Who discovered the proton?,Ernest Rutherford,J.J. Thomson,Niels Bohr,Max Planck,Ernest Rutherford
What is the currency of Nepal?,Nepalese Rupee,Indian Rupee,Pakistani Rupee,Sri Lankan Rupee,Nepalese Rupee
Which island is the largest in the Caribbean Sea?,Cuba,Jamaica,Hispaniola,Puerto Rico,Cuba
What is the chemical symbol for iodine?,I,Ir,In,Is,I
Who wrote "The Picture of Dorian Gray"?,Oscar Wilde,George Bernard Shaw,James Joyce,Samuel Beckett,Oscar Wilde
What is the capital of Hungary?,Budapest,Debrecen,Szeged,Pécs,Budapest
Which gas is used in the process of making fertilizers?,Ammonia,Methane,Ethane,Propane,Ammonia
What is the largest species of bat?,Giant Golden-crowned Flying Fox,Little Brown Bat,Vampire Bat,Fruit Bat,Giant Golden-crowned Flying Fox
Who invented the first computer program?,Ada Lovelace,Alan Turing,John von Neumann,Charles Babbage,Ada Lovelace
What is the currency of Morocco?,Moroccan Dirham,Algerian Dinar,Tunisian Dinar,Libyan Dinar,Moroccan Dirham
Which strait separates Asia from North America?,Bering Strait,Strait of Gibraltar,Bosporus Strait,Dardanelles Strait,Bering Strait
What is the chemical symbol for aluminum?,Al,Ag,Au,As,Al
Who wrote "The Count of Monte Cristo"?,Alexandre Dumas,Victor Hugo,Gustave Flaubert,Émile Zola,Alexandre Dumas
What is the capital of Romania?,Bucharest,Cluj-Napoca,Timisoara,Iasi,Bucharest
Which gas is used in the process of making glass?,Silicon Dioxide,Sodium Carbonate,Calcium Oxide,All of the above,All of the above
What is the largest species of eagle?,Steller